share_float,latesttransactionprice,volume,beta_yearly,support_zone_lower,support_zone_upper,resistance_zone_lower,resistance_zone_upper,macd_signal,rsi_signal,bb_signal,fib_signal,fib_range,supertrend_signal,ema_signal,sar_signal,market_trend,trade_signal,market_sentiment,ma_signal,trend_confirmation,obv_price_divergence,obv_breakout,daily_volatility_rs,weekly_volatility_rs,monthly_volatility_rs,return_on_equity,market_cap,avg_volume_3_days,week_52_high,week_52_low,divident_yeild,eps_ttm,roa_ttm,roe_ttm,pr_ratio,symbol,sector,total_listed_shares,promoter_shares,public_shares,power_value,promotor_holding_pot,public_holding_pot,paid_up_capital
12250773.03,640.7,35044,,638.1,648.1,670.1,680.1,-,-,-,-,< 38.2%,BY,BY,-,BEAR,S SL,S BEAR,BY,CONF,None,NO,12.6,25.66,55.29,,16018511024.6,27622.0,810.0,537.1,2.34,12.79,0.07,0.13,50.1,HEI,NONLIFEINSU,25001578,12750804.97,12250773.03,100.0,51.0,49.0,1225077303.0
14843741.5,618.0,54387,1.39,586.0,596.0,617.0,627.0,-,-,-,S SL,< 38.2%,S SL,BY,-,BEAR,S SL,S BULL,BY,CONF,None,Breakout Up,29.99,44.96,109.23,,18721290300.0,63137.0,760.0,507.0,1.02,9.45,0.05,0.1,65.41,IGI,NONLIFEINSU,30293350,15449608.5,14843741.5,100.0,51.0,49.0,1484374150.0
8078158.49,976.0,13738,1.59,962.8,972.8,1003.0,1013.0,-,-,-,BY,< 38.2%,S SL,BY,-,BEAR,S SL,BEAR,SL,CONF,None,Breakout Down,25.31,43.0,94.15,,16047797040.0,12306.0,1162.0,800.0,1.08,10.46,0.04,0.08,93.27,NICL,NONLIFEINSU,16442415,8364256.51,8078158.49,100.0,50.87,49.13,807815849.0
8049442.43,783.0,12437,-2.58,770.0,780.0,795.1,805.1,-,-,-,-,< 23.6%,BY,S SL,-,BEAR,S SL,S BULL,SL,CONF,None,NO,31.05,57.72,130.46,,15756783498.0,13921.0,1050.0,750.0,2.02,15.51,0.06,0.12,50.49,NIL,NONLIFEINSU,20123606,12074163.57,8049442.43,100.0,60.0,40.0,804944243.0
12263023.52,950.0,150239,0.91,945.0,955.0,1017.0,1027.0,-,-,-,S BY,< 23.6%,S SL,SL,-,BEAR,S SL,S BEAR,SL,CONF,None,NO,30.53,56.35,117.1,,23775250050.0,61606.0,1382.0,715.3,0.61,9.68,0.04,0.08,98.15,NLG,NONLIFEINSU,25026579,12763555.48,12263023.52,100.0,51.0,49.0,1226302352.0
7063292.58,990.1,4694,1.63,978.6,988.6,1015.0,1025.0,SL,-,-,-,< 61.8%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,24.34,57.95,114.47,,14272175658.3,8148.0,1113.0,705.0,0.5,16.66,0.08,0.16,59.44,PRIN,NONLIFEINSU,14414883,7351590.42,7063292.58,100.0,51.0,49.0,706329258.0
327166.13,14958.0,378,1.0,14601.1,14611.1,15595.0,15605.0,-,-,SL,-,< 23.6%,S SL,SL,-,BULL,S BY,S BULL,-,CONF,None,NO,421.33,654.29,1182.84,,39883876578.0,926.0,22493.9,12800.0,0.81,260.04,0.02,0.03,57.52,RBCL,NONLIFEINSU,2666391,2339224.87,327166.13,100.0,87.73,12.27,32716613.0
12850927.18,739.1,8280,0.61,720.1,730.1,740.0,750.0,-,-,-,-,< 38.2%,BY,BY,-,BEAR,S SL,S BULL,BY,CONF,None,NO,36.96,70.69,157.79,,19383918936.2,9987.0,926.0,602.0,0.68,5.02,0.03,0.08,147.17,SALICO,NONLIFEINSU,26226382,13375454.82,12850927.18,100.0,51.0,49.0,1285092718.0
9800000.0,699.8,27031,0.43,681.0,691.0,706.0,716.0,-,-,-,-,< 61.8%,BY,BY,-,BEAR,SL,BEAR,BY,CONF,None,NO,16.24,36.18,77.71,,13996000000.0,48725.0,817.1,488.0,,12.17,0.04,0.12,57.5,SGIC,NONLIFEINSU,20000000,10200000.0,9800000.0,100.0,51.0,49.0,980000000.0
13009241.28,774.0,7560,1.39,740.0,750.0,785.0,795.0,-,-,-,-,< 23.6%,BY,SL,-,BEAR,S SL,S BULL,SL,CONF,None,NO,45.48,92.93,206.79,,20549291328.0,11245.0,1120.0,670.0,2.18,19.39,0.04,0.1,39.92,SICL,NONLIFEINSU,26549472,13540230.72,13009241.28,100.0,51.0,49.0,1300924128.0
13752094.51,858.0,13535,1.7,838.8,848.8,887.3,897.3,-,-,-,-,< 38.2%,S SL,BY,-,BEAR,S SL,BEAR,BY,CONF,None,NO,33.25,59.47,128.96,,24080198142.0,34225.0,1076.0,706.0,1.28,16.03,0.03,0.07,53.51,SPIL,NONLIFEINSU,28065499,14313404.49,13752094.51,100.0,51.0,49.0,1375209451.0
10289997.7,706.0,24411,1.8,675.0,685.0,724.0,734.0,-,SL,-,-,< 61.8%,S SL,BY,-,BULL,S BY,S BEAR,S BY,CONF,None,NO,26.49,47.88,99.33,,14825996470.0,51951.0,837.3,514.0,1.53,6.64,0.04,0.09,106.38,UAIL,NONLIFEINSU,20999995,10709997.3,10289997.7,100.0,51.0,49.0,1028999770.0
